Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Don’t trust the government,AL,274711,111569,42988,54257,22994,42903,181479,93232,1813,250543,15770,-,6586,-,145294,95178,34239,90156,1223,67790,115542,-,7383,58324,56455,38447,36741,4695,72666,170056,104655,14300,260412,-,143276,131435,-,16220,6957,44986,4839,8274,15927,12059,10312,155137,97486,35036,22684,5257,20255,68623,24228,11401,4819,135060,3458,-,-,-,271254,-,52916,71283,1536,-,148977,83036,14819,22759,3283,150814,67146,58589,-,-,148977,101241,6248,18246,-,148977,115612,159099,-,-
Other,AL,133830,36803,7701,17926,45458,25942,59438,74392,-,81907,18466,6258,27200,41719,6144,58963,27005,34535,3109,42276,53910,-,26903,16795,21526,38828,19657,-,10121,61431,72399,30162,103668,-,64029,69801,-,26186,-,13182,7168,10500,4704,1247,-,70843,77905,21537,11233,10732,-,49667,7706,25175,10732,20047,-,-,-,-,133830,-,60352,20870,10732,-,41877,67040,14182,-,10732,41877,43071,14797,34085,-,41877,51490,17423,23040,-,41877,12459,109733,11638,-
Did not report,AL,10447,-,-,7375,-,3072,10447,-,-,10447,-,-,-,-,7375,3072,-,3072,-,-,7375,-,7375,-,3072,-,-,-,-,3072,7375,-,10447,-,7375,3072,-,-,-,-,-,3072,-,-,-,7375,10447,-,-,-,-,3072,-,-,-,-,-,-,-,-,10447,-,-,-,3072,-,7375,3072,-,-,-,7375,-,3072,-,-,7375,-,3072,-,-,7375,10447,-,-,-
Total,,169350,24525,66848,44901,23292,9784,85263,84087,15871,96800,13160,3850,39669,12310,77610,59993,19436,76085,10926,21816,55801,4723,9964,50627,25832,35937,17736,3481,25773,89045,80305,42479,126870,-,105934,62523,892,24171,15282,11934,12094,10029,13813,6709,10332,64985,99054,30005,33688,24973,13686,46130,1607,13544,17570,20603,1687,2714,7023,810,157063,283,90215,24865,9293,-,44976,100579,18989,3807,-,45975,75555,36436,11409,589,45361,102426,16912,5200,-,44811,39281,127301,2474,294
Concerned about possible side effects,AK,89991,17618,34659,21856,9992,5867,39593,50399,6395,47125,8255,3230,24987,6047,44068,30561,9316,37262,6574,9449,33021,3685,5156,26665,18171,17817,6576,2789,12817,49412,40579,21745,68246,-,55058,34335,599,16732,2995,6644,4221,5276,8554,2263,8743,34563,56245,19600,18180,12419,6958,27042,1607,6621,10656,9633,1030,230,1288,230,87161,283,45181,16720,5329,-,22761,51823,14057,1068,-,23044,34603,25047,7147,589,22606,51986,13253,2146,-,22606,15242,72822,1928,-
Don’t know if a vaccine will work,AK,22900,2022,9385,7095,3415,983,8998,13901,1931,15334,829,-,4805,420,5405,11987,5088,13359,407,2211,6923,-,3307,7301,3322,4378,2306,977,1309,11078,11821,5458,17441,-,12995,9904,-,2523,3440,3177,642,1829,2774,1160,2058,5296,13010,3824,9287,1996,863,6157,734,3206,743,1831,-,-,3102,-,19797,-,13769,3452,2632,-,3047,16428,2400,479,-,3593,12188,5881,2221,-,2610,14309,4161,1820,-,2610,4152,17854,894,-
Don’t believe I need a vaccine,AK,54175,9985,19899,16138,3723,4431,37524,16651,4566,36524,5827,-,7259,2054,23584,20701,7836,28839,2629,2793,17048,2867,2237,17196,10671,11794,5785,1294,5199,26991,27184,9170,45005,-,39635,13941,599,2162,3082,1300,5957,4097,6439,2067,6734,22337,33154,12670,10190,3363,2807,12066,607,3854,8723,7611,1395,1336,1021,-,50141,283,33273,2805,2468,-,15629,32570,5214,479,-,15911,27496,8738,1660,-,16280,33852,3748,664,-,15911,13365,38882,1928,-
Don’t like vaccines,AK,24873,3230,10124,8981,1268,1271,13108,11766,2584,12730,-,-,9559,2766,12406,8452,1249,10598,124,2562,9005,2584,964,6015,4209,5700,4342,188,3456,13010,11864,6184,18690,-,16301,8572,-,2853,3580,2678,1508,860,2073,889,316,10116,14548,6372,4866,1714,3254,9016,-,2955,3611,2527,-,-,153,-,24720,-,15481,3200,395,-,5797,14454,4497,124,-,5797,10276,6886,1913,-,5797,16668,2092,316,-,5797,4940,19933,-,-
Doctor has not recommended it,AK,10912,1743,5279,2883,428,580,5156,5756,580,9313,158,-,861,-,5078,3062,2772,4651,283,575,5403,-,901,3651,787,3261,351,646,1315,6058,4854,4396,6516,-,7727,3185,-,1626,790,1772,531,379,881,787,434,3712,4445,2812,2902,2109,790,4822,-,1801,756,1981,-,-,646,580,9686,-,5609,1823,395,-,3085,7115,532,-,-,3265,3306,3888,454,-,3265,4933,1534,1360,-,3085,2434,8478,-,-
Plan to wait and see if it is safe,AK,60684,5745,29966,12239,9777,2956,24930,35753,5164,33714,4523,361,16922,2414,24846,24757,8667,33518,4233,6220,15894,818,3290,16852,9178,10758,7354,1368,11883,35417,25267,14864,45820,-,39459,20908,316,10903,6552,6632,5531,2688,5295,1534,4047,17501,35786,11639,21498,11045,7160,24532,1348,6599,3710,5691,1030,230,4846,230,54578,-,24948,18095,2312,-,15328,38196,6984,479,-,15025,24052,15959,6086,-,14587,30925,12821,2350,-,14587,9043,51293,348,-
Other people need it more right now,AK,18688,2704,5979,8883,650,472,12204,6484,614,9746,1143,361,6823,561,8978,5945,3204,5972,124,668,11405,519,1318,7344,1711,4411,2372,1147,386,8794,9895,8031,10658,-,13098,5274,316,3571,1236,1517,2141,876,2418,512,587,5831,10689,3169,5108,3234,2980,5343,1348,3532,1104,1548,292,-,267,-,18129,-,9694,4171,2803,-,2019,14303,2366,-,-,2019,10340,2623,3706,-,2019,12360,2804,1504,-,2019,4892,13448,348,-
Concerned about the cost,AK,6662,953,179,1558,3624,348,1582,5079,-,2140,337,-,4185,-,4859,1417,386,1225,3624,523,1290,-,570,839,1085,158,-,-,4010,4695,1967,1582,5079,-,1745,4917,-,4019,348,512,-,-,386,1397,-,-,1291,913,5197,4130,-,4709,734,1097,743,-,-,-,-,-,6662,-,1111,5029,523,-,-,5648,1014,-,-,-,839,5262,560,-,-,2532,3782,348,-,-,558,5756,348,-
Don’t trust COVID-19 vaccines,AK,53949,12521,20291,12490,3418,5227,33298,20651,3987,35305,6696,-,7961,3469,26183,19818,4479,26828,2178,3501,18575,2867,3385,17198,11263,14415,5676,1259,753,27890,26059,8784,45164,-,36523,17143,283,3292,2406,2413,3082,4018,6054,1199,6366,25117,32207,12398,5833,4465,2974,7403,607,4906,9216,9194,656,1565,2192,230,49252,283,31202,3293,1901,-,17552,32179,3456,479,-,17834,29700,5023,1829,-,17397,31842,2889,1820,-,17397,14123,37897,1928,-
Don’t trust the government,AK,48884,9229,15691,13278,7057,3629,34804,14079,4410,30785,7722,-,5967,3469,20727,19139,5548,24407,2178,5002,13894,3402,2558,13839,11301,14267,4492,1132,1296,22967,25916,7010,41873,-,37167,11717,-,1774,2129,980,645,3869,4754,1171,6747,26814,30873,11118,6223,5093,2645,9200,348,2492,8138,6529,656,2233,777,230,45218,-,24894,3904,2639,-,17447,26779,4178,479,-,17447,22616,6424,2397,-,17447,27813,1661,1961,-,17447,13129,33826,1928,-
Other,AK,45653,9745,16171,11539,5291,2907,30109,15544,7322,27024,5065,-,6242,2615,18913,20143,3982,18694,4025,3946,15885,3103,2038,18536,2774,9610,6686,978,5031,22703,22951,9978,35675,-,31195,14142,316,3697,6462,2097,2955,5246,3616,2122,5081,14377,26508,10510,10491,6780,2403,6010,607,2954,11306,4723,738,1817,3361,-,39737,-,28676,3325,4271,-,9381,28804,4853,2615,-,9381,26934,8280,1058,-,9381,29478,3737,3057,-,9381,19154,26152,348,-
Did not report,AK,1431,558,259,294,321,-,321,1110,-,1172,-,259,-,-,-,1172,259,294,-,580,558,-,-,580,851,-,-,-,-,294,1137,259,1172,-,321,817,294,-,-,-,-,-,-,-,321,1110,321,-,259,-,-,259,-,-,-,851,-,-,-,-,1431,-,874,-,-,-,558,580,-,-,-,851,321,259,-,-,851,580,-,-,-,851,259,878,-,294
Total,AZ,1477020,141609,555946,329349,195499,254618,705572,771448,464378,848576,57344,41494,65229,99851,529982,555514,291673,646216,94183,225827,447036,63759,122376,425181,215878,363922,180161,93735,75766,692582,784438,402803,1070307,3911,807906,667974,1140,191939,115905,204559,132153,133784,133959,35105,31199,498417,760530,367689,255285,216418,128176,454846,43275,204645,84706,279252,4908,14329,22328,-,1428813,14660,693508,279425,78219,-,425868,837328,139674,71531,2619,425868,591909,329581,129661,-,425868,719548,275458,54419,1727,425868,320422,1130388,20457,5752
Concerned about possible side effects,AZ,728355,93558,279360,179843,56338,119255,421614,306740,245685,394188,24905,30169,33407,56553,258111,270003,143687,331156,24213,81239,227988,63759,76724,238065,109464,175736,55073,32867,40425,295848,432506,199260,529095,-,350252,378103,-,138912,43582,117842,52447,63807,52682,6911,9815,242356,371970,162085,133658,131926,54207,217988,14652,146121,60631,138948,-,608,4973,-,717930,4843,358265,118591,53031,-,198467,404039,82945,42903,-,198467,229193,193137,107557,-,198467,312990,192574,24324,-,198467,158749,566829,2777,-
Don’t know if a vaccine will work,AZ,271239,26332,69160,85807,18691,71249,160491,110748,116100,135058,3260,3970,12850,-,137061,87605,46573,69962,26245,38787,85174,51071,62657,90678,29043,48852,14745,20016,5247,77119,194120,103808,167432,-,98830,172409,-,94826,23693,40458,27174,14709,18573,1621,4174,46010,127183,62631,44565,74924,12600,91583,2705,76341,60631,28773,-,-,4812,-,266427,-,143564,85954,-,-,41722,181853,47664,-,-,41722,82226,83439,63853,-,41722,125617,97550,6350,-,41722,22350,247074,1815,-
Don’t believe I need a vaccine,AZ,324197,59934,146304,44799,25419,47742,186970,137227,82081,233915,3311,1655,3235,18875,53931,157402,93988,137743,-,16908,166332,3213,11856,110357,65791,72738,44568,5797,13090,125292,198905,42598,278828,2771,187991,136206,-,21264,33827,52046,17558,46229,22978,5933,2606,121754,217958,87740,71703,27157,28528,112474,2705,18796,-,35974,-,8111,-,-,316086,-,164398,63023,-,-,96776,158415,59301,9705,-,96776,124185,87339,15897,-,96776,204940,19659,2822,-,96776,53589,262433,3562,4613
Don’t like vaccines,AZ,159954,-,88667,24495,10642,36149,60072,99881,28327,105477,22180,3970,-,-,69758,77515,12680,109917,18500,13652,14671,3213,4202,56440,6923,51019,13963,-,27406,80315,79639,23882,133301,2771,82899,77055,-,20139,3182,16467,16276,24066,10065,-,482,69276,85604,38654,14089,5997,14072,36807,1917,14189,7903,32214,-,-,8019,-,159954,-,71760,23357,7903,-,56933,79890,14530,8600,-,56933,77768,25253,-,-,56933,73547,12854,16619,-,56933,31777,128177,-,-
Doctor has not recommended it,AZ,90657,-,63067,14321,3462,9806,34560,56097,29101,51605,-,6529,3422,-,51292,16353,23011,25444,559,4983,59670,-,3504,36709,4448,36735,8176,-,1084,45996,44662,10501,80156,-,43403,47254,-,6062,19605,34663,10109,4196,1201,-,-,14821,42174,28344,3972,3447,6529,50696,1644,3928,1647,10528,-,-,-,-,90657,-,49101,19879,9503,-,12175,42664,35818,-,-,12175,19797,54198,4487,-,12175,63833,12010,2640,-,12175,5944,84713,-,-
Plan to wait and see if it is safe,AZ,492916,103166,169965,103601,60233,55950,221710,271205,162495,282364,30708,3970,13379,31202,202434,158321,100958,158098,45225,63952,219395,6246,14794,116376,87684,149211,102244,16394,6212,291617,201299,104634,388281,-,343402,149514,-,44441,27206,48903,40761,33566,52215,18904,11032,215889,263147,127820,109563,52274,56685,164094,24354,37852,12544,109416,-,608,10888,-,481420,-,199374,107709,1040,-,184793,244526,21261,39717,2619,184793,193868,98625,15630,-,184793,222404,63137,22582,-,184793,138934,349390,4592,-
Other people need it more right now,AZ,318697,41661,164007,56038,43215,13776,204854,113843,79401,224351,2438,1727,10780,32515,157334,73366,55482,108134,1764,39764,166003,3032,11562,60291,41689,140207,40858,24090,-,183379,135318,57999,260699,-,208598,110099,-,10313,37253,28820,34980,31765,64177,-,19435,91954,181567,65324,39743,31415,30538,114887,3468,14373,-,57350,-,-,-,-,318697,-,184055,39286,16841,-,78516,182131,35263,22788,-,78516,179987,52291,7903,-,78516,211834,25624,996,1727,78516,94952,220968,2777,-
Concerned about the cost,AZ,65976,-,38674,4855,-,22446,36102,29873,30465,35511,-,-,-,-,42265,10677,13034,9770,10500,16804,28901,-,941,36646,15933,4160,-,4133,4163,20279,45697,10506,55470,-,4855,61120,-,21037,1412,26332,3291,9770,-,-,-,4133,21142,13825,7642,10864,-,38606,-,16081,9560,-,-,5610,-,-,60366,-,48954,12889,-,-,4133,30410,31433,-,-,4133,21506,31218,9119,-,4133,47179,13723,941,-,4133,6551,59425,-,-
Don’t trust COVID-19 vaccines,AZ,497319,36155,229723,123728,36054,71659,317455,179865,128794,319565,3311,25187,20462,20891,163805,210713,101911,251799,5204,44026,142007,54284,74497,142891,56313,105470,44530,32832,40786,219048,278272,153420,341128,2771,219851,277468,-,91439,23047,79711,39944,57099,47402,6495,7593,144588,218016,98178,87881,124245,42190,149116,8264,117442,57125,97723,4908,5610,1552,-,485249,-,277553,77567,5674,-,136526,281069,64035,15690,-,136526,161340,116099,83355,-,136526,237551,112603,10640,-,136526,79327,409522,8471,-
Don’t trust the government,AZ,281103,26635,96533,70035,33871,54029,150627,130476,35036,199847,4540,21217,20462,13186,44044,161897,61975,168654,-,43437,69012,-,26400,88171,32446,52216,43359,2929,35581,130855,150247,82677,195655,2771,136084,145019,-,28134,17192,40387,30110,46452,20954,5933,9717,82223,171283,75126,69431,42172,42127,94638,8479,37585,984,43726,4908,5610,1552,-,269033,-,135861,62396,8431,-,74415,141100,55882,9705,-,74415,110449,63755,32483,-,74415,150276,39276,17135,-,74415,36959,237420,6723,-
Other,AZ,367984,38443,132281,99978,36715,60566,208896,159088,90787,219981,21809,19562,15845,-,142891,163467,61626,173991,8970,35613,98339,51071,74553,92930,71149,60714,31015,9154,28467,135873,232110,126519,238694,2771,157674,210310,-,66485,25201,50324,21023,33185,21006,8625,964,141171,136027,71758,48446,67760,16182,51126,7194,84678,56558,125547,-,-,-,-,358167,9817,172231,48105,3553,-,144094,204730,19159,-,-,144094,130429,39943,53517,-,144094,137452,77209,9228,-,144094,51853,305175,10957,-
Did not report,AZ,15322,-,4835,3708,4987,1793,3968,11354,6386,7523,-,1413,-,-,4987,1140,9196,3968,-,6520,4835,-,1806,9808,1140,-,-,2569,-,3708,11614,2569,11614,1140,7783,6400,1140,-,-,3815,1140,-,3968,-,-,6400,8922,2813,1400,1140,-,1533,-,-,-,4987,-,-,-,-,15322,-,7796,2539,-,-,4987,10336,-,-,-,4987,7796,1400,1140,-,4987,7796,2539,-,-,4987,2813,11370,-,1140
Total,AR,651221,65589,206409,240594,87227,51401,268632,382589,23645,496281,94651,3564,33080,78871,300698,202131,69521,350491,38306,126789,127198,8436,60433,187761,125832,166987,59810,23073,27325,359596,291624,129035,522185,-,422454,228767,-,82648,72093,46903,75339,66239,15692,4610,24873,262823,439285,96242,91212,67561,16215,157998,3781,36237,8683,123241,5218,4222,-,-,641781,-,264223,140315,33387,1362,211934,368943,58488,10494,1362,211934,257683,150769,24563,6272,211934,352105,71596,14650,936,211934,134327,507725,9168,-
Concerned about possible side effects,AR,255583,6805,90674,109001,23049,26053,99367,156216,10954,196530,15323,2202,30574,5985,87639,122617,39342,141530,7407,62824,42261,1561,29019,48375,64195,56288,33166,9545,14994,149780,105803,50429,205154,-,170990,84593,-,18485,40027,20424,31721,24391,13099,1956,2142,103338,180842,58739,35432,28939,15871,84651,1378,21067,6875,53246,-,-,-,-,255583,-,103368,52474,9266,-,90474,142034,23075,-,-,90474,104552,39301,21256,-,90474,133268,29778,1127,936,90474,46674,206616,2293,-
Don’t know if a vaccine will work,AR,150937,15162,44162,35725,30094,25794,42014,108923,6640,110379,14373,-,19546,32722,63453,44060,10703,101679,10326,18755,20177,-,9691,66975,31492,34370,-,6980,1430,63581,87356,20800,130137,-,94168,56769,-,28412,12386,6079,16573,11342,1378,-,21369,53396,108052,21062,11359,16638,8186,58359,1378,10013,5939,28589,-,-,-,-,150937,-,75667,23581,9045,-,42645,101062,7231,-,-,42645,67825,29330,11137,-,42645,90616,17676,-,-,42645,40945,109992,-,-
Don’t believe I need a vaccine,AR,121939,47350,24027,27741,10466,12355,54313,67626,-,104320,11776,-,5843,40545,26093,38034,17268,56299,4354,15093,44633,1561,10885,57454,20774,17949,13836,1041,-,34585,87354,9395,112544,-,96452,25487,-,23311,16952,4463,13080,33525,5012,3464,-,22133,106286,8656,3267,5951,4427,29175,1378,9000,3575,12165,-,-,-,-,121939,-,48069,51692,3996,-,18182,66533,37224,-,-,18182,45098,51458,7200,-,18182,89725,13096,-,936,18182,7744,111541,2654,-
Don’t like vaccines,AR,41988,-,13106,24660,1739,2482,21540,20448,-,26248,14331,-,1409,4217,10988,18406,8376,22459,5004,6615,6904,1006,2072,17756,8541,5224,4537,3858,-,26517,15471,13213,28775,-,26095,15893,-,13642,11731,5874,2585,3637,1670,-,-,2848,31124,10941,13417,-,-,23120,-,-,-,2389,-,-,-,-,41988,-,25261,14338,-,-,2389,39035,564,-,-,2389,31160,7979,459,-,2389,28683,10916,-,-,2389,8854,33133,-,-
Doctor has not recommended it,AR,30480,12691,9205,3042,2746,2795,13747,16733,14215,15210,-,-,1056,12691,-,14090,3699,15043,-,1691,13747,-,1056,1056,8601,1739,12691,3214,2123,19988,10492,17245,13235,-,14994,15486,-,-,13747,3430,919,10261,-,-,-,2123,15678,11952,23587,19332,1056,3214,1041,1691,-,-,-,-,-,-,30480,-,13056,13610,1691,-,2123,27301,1056,-,-,2123,17245,3430,7682,-,2123,25610,2746,-,-,2123,4083,26397,-,-
Plan to wait and see if it is safe,AR,308051,23924,89987,133877,36669,23595,108389,199662,18156,215328,56944,-,17622,34468,163174,74665,35744,165752,10378,67526,56965,7430,20267,77393,61901,99847,39075,5117,4451,191261,116790,50522,257530,-,182690,125361,-,32049,38458,18348,31100,9332,4291,-,22470,152003,204500,41597,43457,44423,7130,63697,-,12058,681,70672,681,-,-,-,307370,-,125545,59174,14602,-,108730,184396,8652,6272,-,108730,140726,41063,11260,6272,108730,164608,26552,8161,-,108730,73832,234219,-,-
Other people need it more right now,AR,56610,7926,28151,11105,9427,-,31798,24812,1524,38678,1687,-,14721,-,22879,28905,4826,33645,344,3096,18844,681,4477,18136,2552,20095,6805,1524,3022,39867,16742,7664,48946,-,41173,15437,-,3773,2461,7575,7639,6992,1405,1146,-,25618,40901,8121,8327,7112,-,25488,1041,5991,681,8156,681,-,-,-,55929,-,13016,18435,2266,-,22892,32716,1002,-,-,22892,22189,7762,3767,-,22892,27284,4167,2266,-,22892,9918,46692,-,-
Concerned about the cost,AR,23883,1121,13282,5622,3858,-,1121,22762,1728,15793,5241,-,1121,-,3858,19106,919,4427,-,6020,13436,-,7193,4515,3321,4427,-,4427,-,14179,9704,8233,15649,-,11344,12539,-,8921,6641,-,-,-,-,-,-,8321,15360,3942,7762,7193,-,13282,-,11418,4427,2975,-,-,-,-,23883,-,10325,6155,-,-,7402,16481,-,-,-,7402,10499,5982,-,-,7402,10409,6072,-,-,7402,-,23883,-,-
